STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280507,139,17
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280508,228,28
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280509,300,89
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280510,256,106
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280511,183,50
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280512,117,-6
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280513,183,11
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280514,211,89
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280515,206,122
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280516,206,150
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280517,250,156
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280518,239,122
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280519,206,106
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280520,261,89
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280521,217,94
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280522,256,89
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280523,167,67
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280524,289,56
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280525,183,89
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280526,156,72
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280527,178,56
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280528,178,67
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280529,183,106
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280530,200,78
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280531,194,50
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280601,256,111
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280602,144,89
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280603,217,72
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280604,150,106
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280605,122,89
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280606,144,89
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280607,217,72
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280608,233,150
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280609,178,78
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280610,222,50
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280611,244,94
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280612,306,144
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280613,261,150
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280614,278,106
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280615,211,83
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280616,222,100
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280617,250,150
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280618,283,144
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280619,300,139
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280620,250,178
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280621,283,161
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280622,272,156
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280623,206,133
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280624,217,111
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280625,133,100
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280626,222,111
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280627,256,128
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280628,250,156
