STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690216,150,56
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690217,144,56
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690218,128,78
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690219,117,78
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690220,111,78
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690221,122,44
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690222,117,50
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690223,111,72
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690224,128,78
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690225,122,56
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690226,122,50
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690227,150,56
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690228,128,78
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690301,128,83
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690302,150,56
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690303,117,78
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690304,133,89
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690305,133,61
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690306,117,89
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690307,117,78
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690308,117,56
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690309,117,33
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690310,117,39
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690311,122,61
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690312,106,56
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690313,117,33
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690314,156,44
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690315,150,33
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690316,139,44
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690317,172,106
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690318,144,89
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690319,172,56
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690320,139,78
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690321,150,39
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690322,133,94
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690323,189,50
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690324,222,94
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690325,239,89
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690326,278,94
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690327,239,111
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690328,178,83
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690329,156,94
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690330,200,100
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690331,161,117
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690401,156,83
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690402,178,67
